Nom magasin;Adresse;Ville;Code postale;Téléphone;Catégories;Region;image name
1.2.3;44 r Serpenoise;Metz;57000 ;03 87 36 39 55;Mode;Lorraine;IMG00539-20140101-1605.jpg
Eurodif;12 r Petit Paris;Metz;57000 ;03 87 75 06 89;Maison;Lorraine;IMG00540-20140101-1607.jpg
Marionnaud Parfumerie;15 r Petit Paris;Metz;57000 ;03 87 18 80 69;Mode;Lorraine;IMG00541-20140101-1608.jpg
Minelli;11 r Petit Paris;Metz;57000 ;03 87 75 07 79;Mode;Lorraine;IMG00542-20140101-1608.jpg
Paul;9 Bis r Petit Paris;Metz;57000 ;03 87 75 38 53;Alimentaire;Lorraine;IMG00543-20140101-1608.jpg
Sandro;8 r Serpenoise;Metz;57000 ;03 87 36 79 03;Mode;Lorraine;IMG00544-20140101-1609.jpg
O'Kebap;5 r Palais;Metz;57000 ;03 87 74 27 01;Alimentaire;Lorraine;IMG00545-20140101-1610.jpg
Citadin ;13 r Fabert;Metz;57000 ;03 87 36 11 86;Mode;Lorraine;IMG00548-20140101-1611.jpg
Pasta Mano;11 r Fabert;Metz;57000 ;03 87 74 45 36;Alimentaire;Lorraine;IMG00549-20140101-1612.jpg
The View;2 pl St Jacques;Metz;57000 ;03 87 37 35 33;Alimentaire;Lorraine;IMG00550-20140101-1612.jpg
G-STAR Store;2 r Palais;Metz;57000 ;09 64 29 11 40;Mode;Lorraine;IMG00551-20140101-1613.jpg
Nature et Découvertes;1 r Clercs;Metz;57000 ;03 87 75 10 20;Maison;Lorraine;IMG00552-20140101-1614.jpg
Bar Le Luxembourg;13 r Palais;Metz;57000 ;03 87 75 23 60;Alimentaire;Lorraine;IMG00555-20140101-1615.jpg
Boucherie Charcuterie Remy;12 r Palais;Metz;57000 ;03 87 75 14 23;Alimentaire;Lorraine;IMG00556-20140101-1616.jpg
Agnès M;20 r Palais;Metz;57000 ;03 87 74 86 05;Mode;Lorraine;IMG00559-20140101-1617.jpg
L'Epingle;19 r Palais;Metz;57000 ;03 87 75 11 59;Mode;Lorraine;IMG00560-20140101-1617.jpg
Cinéma Caméo Ariel;24 r Palais;Metz;57000 ;03 87 18 99 95;Divers;Lorraine;IMG00561-20140101-1617.jpg
Bouquinerie Du Centre;19 r Palais;Metz;57000 ;03 87 75 34 40;Divers;Lorraine;IMG00562-20140101-1617.jpg
Subway;24 r Palais;Metz;57000 ;03 87 50 34 06;Alimentaire;Lorraine;IMG00563-20140101-1618.jpg
Saint Alban;24 r Palais;Metz;57000 ;03 87 32 52 26;Mode;Lorraine;IMG00564-20140101-1618.jpg
Carophil Liu-Jo;2 r Pierre Hardie;Metz;57000 ;09 61 49 12 87;Mode;Lorraine;IMG00565-20140101-1619.jpg
C.COM.CA;2 r Pierre Hardie;Metz;57000 ;03 87 36 35 49;Mode;Lorraine;IMG00566-20140101-1619.jpg
Save the Queen;4 r Pierre Hardie;Metz;57000 ;03 87 75 25 83;Mode;Lorraine;IMG00567-20140101-1619.jpg
Camille Albane;6 r Pierre Hardie;Metz;57000 ;03 87 76 20 40;Mode;Lorraine;IMG00568-20140101-1620.jpg
BOUTIQUE QUANTUM;2 Et 5 r Pierre Hardie;Metz;57000 ;03 87 76 13 30;Mode;Lorraine;IMG00569-20140101-1620.jpg
Mise Au Green;7 r Pierre Hardie;Metz;57000 ;03 87 37 10 11;Mode;Lorraine;IMG00570-20140101-1621.jpg
Au Fût et à Mesure;12 r Pierre Hardie;Metz;57000 ;03 87 74 08 48;Alimentaire;Lorraine;IMG00571-20140101-1621.jpg
Au Coin Gourmand;1 r Paix;Metz;57000 ;06 98 23 35 97;Alimentaire;Lorraine;IMG00572-20140101-1621.jpg
Bazaar Sainte Marie;2 Bis r Ste Marie;Metz;57000 ;03 87 21 05 93;Alimentaire;Lorraine;IMG00573-20140101-1621.jpg
DUBLIN;2 r Ste Marie;Metz;57000 ;09 83 78 95 18;Alimentaire;Lorraine;IMG00574-20140101-1622.jpg
Phenicia;12 r Sainte Marie;Metz;57000 ;03 87 37 76 18;Alimentaire;Lorraine;IMG00575-20140101-1622.jpg
Institut Ongles et Beauté;18 r Ste Marie;Metz;57000 ;03 87 36 91 04;Mode;Lorraine;IMG00576-20140101-1623.jpg
Petit Peuple;7 r Ste Marie;Metz;57000 ;03 87 74 40 06;Mode;Lorraine;IMG00577-20140101-1623.jpg
Le Comptoir;20 r Ste Marie;Metz;57000 ;03 87 36 58 97;Alimentaire;Lorraine;IMG00578-20140101-1623.jpg
Restaurant le Visconti;8 r Faisan;Metz;57000 ;03 87 36 37 21;Alimentaire;Lorraine;IMG00583-20140101-1625.jpg
Esprit Coiffeur;4 r Faisan;Metz;57000 ;03 87 36 04 82;Mode;Lorraine;IMG00584-20140101-1626.jpg
Fleur De Chine;5 r Faisan;Metz;57000 ;03 87 62 88 58;Alimentaire;Lorraine;IMG00585-20140101-1626.jpg
Cordonnerie La Scarpa;1 r Faisan;Metz;57000 ;03 87 75 59 27;Divers;Lorraine;IMG00586-20140101-1626.jpg
Chambre Cinquante Sept;57 pl Chambre;Metz;57000 ;03 87 15 16 09;Maison;Lorraine;IMG00587-20140101-1627.jpg
Buddha Lounge;51 pl Chambre;Metz;57000 ;03 87 50 35 03;Alimentaire;Lorraine;IMG00589-20140101-1628.jpg
Restaurant l'Ardoise;45 pl de Chambre;Metz;57000 ;03 87 75 42 38;Alimentaire;Lorraine;IMG00590-20140101-1629.jpg
Opéra Café;39 pl Chambre;Metz;57000 ;03 87 36 80 26;Alimentaire;Lorraine;IMG00592-20140101-1630.jpg
La Cloche;37 pl Chambre;Metz;57000 ;03 87 36 04 23;Alimentaire;Lorraine;IMG00593-20140101-1631.jpg
Kawa-Tea Du Monde;33 pl Chambre;Metz;57000 ;03 87 66 78 26;Alimentaire;Lorraine;IMG00594-20140101-1631.jpg
Le Montecristo;14 pl Armes;Metz;57000 ;03 87 18 90 96;Alimentaire;Lorraine;IMG00595-20140101-1634.jpg
Yourban'Shop;12 en Fournirue;Metz;57000 ;06 10 46 48 34;Mode;Lorraine;IMG00596-20140101-1635.jpg
Kaysen;13 en Fournirue;Metz;57000 ;03 87 36 93 67;Mode;Lorraine;IMG00597-20140101-1636.jpg
Villeroy et Boch;22 en Fournirue;Metz;57000 ;03 87 74 26 34;Maison;Lorraine;IMG00598-20140101-1636.jpg
Next Day' S ;2 r Ladoucette;Metz;57000 ;03 87 76 25 95;Mode;Lorraine;IMG00599-20140101-1637.jpg
Wam La Boutique;3 r Ladoucette;Metz;57000 ;03 87 75 11 08;Mode;Lorraine;IMG00600-20140101-1638.jpg
La Pidoule;9 r Taison;Metz;57000 ;03 87 16 69 31;Mode;Lorraine;IMG00602-20140101-1640.jpg
Made In France;29 en Fournirue;Metz;57000 ;03 87 36 82 40;Alimentaire;Lorraine;IMG00603-20140101-1641.jpg
Record ABC Vêtement Professionnel ;56 en Fournirue;Metz;57000 ;03 87 74 94 96;Mode;Lorraine;IMG00605-20140101-1642.jpg
Carissimi Pizza;72 en Fournirue;Metz;57000 ;03 87 18 94 67;Alimentaire;Lorraine;IMG00606-20140101-1644.jpg
La Rose De Tunis;80 en Fournirue;Metz;57000 ;09 81 62 01 91;Alimentaire;Lorraine;IMG00607-20140101-1644.jpg
Angle Droit;82 en Fournirue;Metz;57000 ;03 87 76 07 62;Mode;Lorraine;IMG00608-20140101-1645.jpg
Roche Bobois;pl Paraiges;Metz;57000 ;03 87 74 62 15;Maison;Lorraine;IMG00609-20140101-1645.jpg
Cheap'ink;4 r Haute Seille;Metz;57000 ;03 87 18 47 71;Maison;Lorraine;IMG00610-20140101-1648.jpg
Espace Scooter;17 r Haute Seille;Metz;57000 ;03 87 37 05 52;Véhicule;Lorraine;IMG00611-20140101-1648.jpg
Ameublement Saint Louis;14 r Haute Seille;Metz;57000 ;03 87 36 16 64;Maison;Lorraine;IMG00612-20140101-1650.jpg
La Couscoussière;22 pl St Simplice;Metz;57000 ;03 87 50 65 29;Alimentaire;Lorraine;IMG00613-20140101-1650.jpg
L'Ile De Java;24 pl St Simplice;Metz;57000 ;03 87 36 18 88;Alimentaire;Lorraine;IMG00614-20140101-1650.jpg
Sushi Shop;30 pl St Simplice;Metz;57000 ;03 87 35 80 91;Alimentaire;Lorraine;IMG00615-20140101-1653.jpg
Damart;34 pl St Louis;Metz;57000 ;03 87 75 07 70;Mode;Lorraine;IMG00616-20140101-1654.jpg
Le Bouche à Oreille;46 pl St Louis;Metz;57000 ;03 87 15 14 66;Alimentaire;Lorraine;IMG00618-20140101-1655.jpg
